Product Name;Description;Price;Website;On Promotion;ID;Category
iPhone 13;The iPhone 13 features a Super Retina XDR display, an A15 Bionic chip, 128 GB of storage, and improved battery life. Available in several colors with a 2-year warranty. Buy now and get 10% off.;899.99;https://www.apple.com;Yes;1;Smartphones
Samsung Galaxy S21;The Galaxy S21 offers a 120 Hz AMOLED display, an Exynos 2100 processor, and a 108 MP camera. It comes with 256 GB of storage and a long-lasting battery. Includes a 1-year warranty. Currently not on promotion.;799.99;https://www.samsung.com;No;1;Smartphones
Dell XPS 13;The Dell XPS 13 is an ultra-thin laptop with an InfinityEdge display, Intel i7, and 16 GB of RAM. It features a 512 GB SSD and a 12-hour battery life. Comes with a 2-year warranty and 24/7 technical support. On promotion with 15% off.;1299.99;https://www.dell.com;Yes;2;Computers
MacBook Air;The MacBook Air features an M1 chip, 256 GB of SSD storage, and an 18-hour battery life. Lightweight and powerful, it is ideal for professionals and students. AppleCare+ warranty available.;999.99;https://www.apple.com;No;2;Computers
Nike Air Max 270;The Nike Air Max 270 are sneakers with a visible Air unit and a mesh upper for optimal comfort. Available in several colors, they offer excellent cushioning for running and everyday activities. Includes a 1-year warranty.;149.99;https://www.nike.com;Yes;3;Shoes
Adidas Ultraboost;The Adidas Ultraboost offer Boost cushioning, a Primeknit upper, and a sleek design for running. They are comfortable and durable, perfect for marathons and intense training. Includes a 1-year warranty.;180.00;https://www.adidas.com;No;3;Shoes
Sony WH-1000XM4;The Sony WH-1000XM4 headphones offer active noise cancellation, high-resolution sound, and a 30-hour battery life. Perfect for travel and noisy environments, with a 2-year warranty. Enjoy 20% off this month.;349.99;https://www.sony.com;Yes;4;Audio Electronics
Bose QuietComfort 35 II;The Bose QC35 II offer active noise cancellation, superior comfort, and a 20-hour battery life. Ideal for listening to music or podcasts with exceptional sound quality. Includes a 2-year warranty.;299.99;https://www.bose.com;No;4;Audio Electronics
Philips Hue Starter Kit;The Philips Hue Starter Kit includes 3 smart bulbs and a bridge for customizable lighting. Compatible with Alexa and Google Assistant, it allows remote lighting control. Comes with a 2-year warranty. On promotion with 10% off.;199.99;https://www.philips-hue.com;Yes;5;Lighting
LIFX Smart Bulb;The LIFX Smart Bulb offers smart LED lighting with millions of colors and app control. Easy to install and compatible with major voice assistants. Includes a 1-year warranty.;59.99;https://www.lifx.com;No;5;Lighting
