" ""Nom du Produit""            ";" ""Description""                                                                                                      ";" ""Prix""   ";" ""Site Web""                    ";" ""En Promotion"" ";" ""Identifiant"" ";" ""Catégorie"""
" ""iPhone 13""                 "; L'iPhone 13 dispose d'un écran Super Retina XDR, une puce A15 Bionic, 128 Go de stockage, et une autonomie accrue. Disponible en plusieurs couleurs avec une garantie de 2 ans. Achetez maintenant et bénéficiez de 10% de réduction. ; 899.99 ;" ""https://www.apple.com""       ";" ""Oui""          "; 1           ;" ""Smartphones"""
" ""Samsung Galaxy S21""        "; Le Galaxy S21 offre un écran AMOLED 120 Hz, un processeur Exynos 2100, et une caméra de 108 MP. Il est équipé de 256 Go de stockage et d'une batterie longue durée. Garantie de 1 an incluse. Actuellement sans promotion. ; 799.99 ;" ""https://www.samsung.com""     ";" ""Non""          "; 1           ;" ""Smartphones""       "
" ""Dell XPS 13""               "; Le Dell XPS 13 est un ordinateur portable ultra-fin avec un écran InfinityEdge, Intel i7, et 16 Go de RAM. Il dispose d'un disque SSD de 512 Go et d'une autonomie de 12 heures. Garantie de 2 ans et assistance technique 24/7. En promotion à -15%. ; 1299.99;" ""https://www.dell.com""        ";" ""Oui""          "; 2           ;" ""Ordinateurs"""
" ""MacBook Air""               ";" ""Le MacBook Air est doté d'une puce M1, 256 Go de stockage SSD, et une autonomie de 18 heures. Léger et puissant, il est idéal pour les professionnels et les étudiants. Garantie AppleCare+ disponible."" "; 999.99 ;" ""https://www.apple.com""       ";" ""Non""          "; 2           ;" ""Ordinateurs"""
" ""Nike Air Max 270""          ";" ""Les Nike Air Max 270 sont des baskets avec une unité Air visible et une tige en maille pour un confort optimal. Disponibles en plusieurs coloris, elles offrent un excellent amorti pour la course et les activités quotidiennes. Garantie de 1 an incluse."" "; 149.99 ;" ""https://www.nike.com""        ";" ""Oui""          "; 3           ;" ""Chaussures"""
" ""Adidas Ultraboost""         ";" ""Les Adidas Ultraboost offrent un amorti Boost, une tige Primeknit, et un design élégant pour la course. Elles sont confortables et durables, parfaites pour les marathons et les entraînements intenses. Garantie de 1 an."" "; 180.00 ;" ""https://www.adidas.com""      ";" ""Non""          "; 3           ;" ""Chaussures"""
" ""Sony WH-1000XM4""           ";" ""Les écouteurs Sony WH-1000XM4 offrent une réduction de bruit active, un son haute résolution, et 30 heures d'autonomie. Parfaits pour les voyages et les environnements bruyants, avec une garantie de 2 ans. Profitez de 20% de réduction ce mois-ci."" "; 349.99 ;" ""https://www.sony.com""        ";" ""Oui""          "; 4           ;" ""Électronique Audio"""
" ""Bose QuietComfort 35 II""   ";" ""Les Bose QC35 II offrent une réduction de bruit active, un confort supérieur, et une autonomie de 20 heures. Idéaux pour écouter de la musique ou des podcasts avec une qualité sonore exceptionnelle. Garantie de 2 ans incluse."" "; 299.99 ;" ""https://www.bose.com""        ";" ""Non""          "; 4           ;" ""Électronique Audio"""
" ""Philips Hue Starter Kit""   ";" ""Le kit de démarrage Philips Hue inclut 3 ampoules intelligentes et un pont pour une lumière personnalisable. Compatible avec Alexa et Google Assistant, il permet de contrôler l'éclairage à distance. Garantie de 2 ans. En promotion à -10%."" "; 199.99 ;" ""https://www.philips-hue.com"" ";" ""Oui""          "; 5       ;" ""Éclairage"""
" ""LIFX Smart Bulb""           ";" ""L'ampoule LIFX Smart offre un éclairage LED intelligent avec des millions de couleurs et une commande via app. Elle est facile à installer et compatible avec les principaux assistants vocaux. Garantie de 1 an incluse."" "; 59.99  ;" ""https://www.lifx.com""        ";" ""Non""          "; 5           ;" ""Éclairage"""
